subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:57:43'
subject='timediff', 	 description='2.71845984s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:57:43'
subject='ups-validation-loopruntime', 	 description='2.909E-5', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:57:44'
subject='ups-sqlwriteback-loopruntime', 	 description='1.788E-5', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:57:44'
subject='address_validated', 	 description='addresses validated', 	 batch_id='809', 	 user_id='809', 	 timestamp='2014-12-01 14:57:44'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:55:44'
subject='timediff', 	 description='2.65219998s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:55:44'
subject='ups-validation-loopruntime', 	 description='2.885E-5', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:55:45'
subject='ups-sqlwriteback-loopruntime', 	 description='1.812E-5', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:55:45'
subject='address_validated', 	 description='addresses validated', 	 batch_id='810', 	 user_id='810', 	 timestamp='2014-12-01 16:55:45'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:59:18'
subject='timediff', 	 description='2.85230994s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:59:18'
subject='ups-validation-loopruntime', 	 description='2.694E-5', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:59:18'
subject='ups-sqlwriteback-loopruntime', 	 description='1.884E-5', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 16:59:18'
subject='address_validated', 	 description='addresses validated', 	 batch_id='811', 	 user_id='811', 	 timestamp='2014-12-01 16:59:18'
